#chrom	chromStart	chromEnd	name	name2	geneName	tier
# Filtering on 2 columns
chr1	1385710	1399335	ENST00000400809.8	uc001afi.4	CCNL2	canonical,basic,all
chr1	1401908	1407293	ENST00000344843.12	uc001afo.6	MRPL20	canonical,basic,all
chr1	1418419	1421276	ENST00000537107.6	uc010nyo.4	ANKRD65	canonical,basic,all
chr1	1425870	1430255	ENST00000378821.4	uc010nyp.3	TMEM88B	canonical,basic,all
chr1	1435689	1442882	ENST00000476993.2	uc001afs.5	VWA1	canonical,basic,all
chr1	1449688	1470163	ENST00000378785.7	uc001aft.3	ATAD3C	canonical,basic,all
chr1	1471764	1497848	ENST00000673477.1	uc288mcs.1	ATAD3B	canonical,basic,all
chr1	1512161	1534685	ENST00000378756.8	uc001aga.4	ATAD3A	canonical,basic,all
chr1	1534777	1540624	ENST00000378733.9	uc009vkf.5	TMEM240	canonical,basic,all
chr1	1541672	1574863	ENST00000291386.4	uc001agd.5	SSU72	canonical,basic,all
chr1	1598011	1600135	ENST00000422725.4	uc021oes.3	FNDC10	canonical,basic,all
chr1	1615499	1630605	ENST00000355826.10	uc001agh.5	MIB2	canonical,basic,all
chr1	1632172	1634654	ENST00000356026.10	uc001agp.5	MMP23B	canonical,basic,all
chr1	1635224	1659004	ENST00000341832.11	uc031tmi.3	CDK11B	canonical,basic,all
chr1	1661477	1692795	ENST00000617444.5	uc031tmq.3	SLC35E2B	canonical,basic,all
chr1	1702378	1724357	ENST00000404249.8	uc009vks.5	CDK11A	canonical,basic,all
chr1	1751231	1778470	ENST00000341426.9	uc001aic.3	NADK	canonical,basic,all
chr1	1785285	1891087	ENST00000378609.9	uc001aif.6	GNB1	canonical,basic,all
chr1	1915259	1917296	ENST00000307786.8	uc001aih.2	CALML6	canonical,basic,all
chr1	1917590	1919279	ENST00000310991.8	uc001aij.4	TMEM52	canonical,basic,all
chr1	1921956	2003786	ENST00000682832.2	uc289ejm.2	CFAP74	canonical,basic,all
chr1	2019344	2030758	ENST00000378585.7	uc001aip.5	GABRD	canonical,basic,all
chr1	2050410	2185395	ENST00000378567.8	uc001aiq.4	PRKCZ	canonical,basic,all
chr1	2189547	2194772	ENST00000378546.9	uc001aiy.5	FAAP20	canonical,basic,all
chr1	2228318	2310213	ENST00000378536.5	uc001aja.6	SKI	canonical,basic,all
chr1	2321252	2391554	ENST00000378531.8	uc001ajb.3	MORN1	canonical,basic,all
chr1	2391840	2405436	ENST00000605895.6	uc001aje.4	RER1	canonical,basic,all
chr1	2403973	2412564	ENST00000447513.7	uc001ajh.5	PEX10	canonical,basic,all
chr1	2476288	2505532	ENST00000378486.8	uc057bmp.2	PLCH2	canonical,basic,all
chr1	2508536	2526596	ENST00000378466.9	uc001ajm.4	PANK4	canonical,basic,all
chr1	2528744	2530263	ENST00000378453.4	uc001ajn.4	HES5	canonical,basic,all
chr1	2556370	2563829	ENST00000355716.5	uc001ajr.5	TNFRSF14	canonical,basic,all
chr1	2586776	2591468	ENST00000419916.8	uc001aju.6	PRXL2B	canonical,basic,all
chr1	2590638	2633016	ENST00000378412.8	uc001ajy.4	MMEL1	canonical,basic,all
chr1	2636985	2801693	ENST00000401095.9	uc057bor.4	TTC34	canonical,basic,all
chr1	3021466	3022903	ENST00000378404.4	uc001ajz.5	ACTRT2	canonical,basic,all
chr1	3069202	3438621	ENST00000270722.10	uc001akf.5	PRDM16	canonical,basic,all
chr1	3454664	3481113	ENST00000378378.9	uc001akg.6	ARHGEF16	canonical,basic,all
chr1	3487950	3611508	ENST00000356575.9	uc001akl.5	MEGF6	canonical,basic,all
chr1	3625014	3630127	ENST00000378344.7	uc001akm.5	TPRG1L	canonical,basic,all
chr1	3630769	3650103	ENST00000270708.12	uc001ako.5	WRAP73	canonical,basic,all
chr1	3652515	3736201	ENST00000378295.9	uc001akp.5	TP73	canonical,basic,all
chr1	3752449	3771645	ENST00000294600.7	uc001akv.4	CCDC27	canonical,basic,all
chr1	3772748	3775956	ENST00000642557.4	uc285fym.3	SMIM1	canonical,basic,all
chr1	3778558	3796498	ENST00000378251.3	uc001akx.3	LRRC47	canonical,basic,all
chr1	3812085	3857211	ENST00000378230.8	uc001aky.4	CEP104	canonical,basic,all
chr1	3857475	3885429	ENST00000378209.8	uc001alc.6	DFFB	canonical,basic,all
chr1	3889132	3900272	ENST00000361605.4	uc001alf.5	C1orf174	canonical,basic,all
chr1	4654608	4792534	ENST00000378191.5	uc001alo.6	AJAP1	canonical,basic,all
chr1	5862810	5992425	ENST00000378156.9	uc001alq.4	NPHP4	canonical,basic,all
chr1	6045887	6101180	ENST00000378083.8	uc001aly.4	KCNAB2	canonical,basic,all
chr1	6101786	6180321	ENST00000262450.8	uc001amb.4	CHD5	canonical,basic,all
chr1	6159429	6197757	ENST00000484532.6	uc057btd.2	ENSG00000285629	canonical,basic,all
chr1	6185019	6199595	ENST00000234875.9	uc001amd.5	RPL22	canonical,basic,all
chr1	6206118	6221299	ENST00000377939.5	uc001amg.5	RNF207	canonical,basic,all
chr1	6221192	6235964	ENST00000343813.10	uc001amk.5	ICMT	canonical,basic,all
chr1	6244178	6245578	ENST00000377898.4	uc009vly.3	HES3	canonical,basic,all
chr1	6247352	6261098	ENST00000377893.3	uc001amp.3	GPR153	canonical,basic,all
chr1	6264271	6393767	ENST00000361521.9	uc057btz.2	ACOT7	canonical,basic,all
chr1	6415231	6419919	ENST00000377834.8	uc001amx.4	HES2	canonical,basic,all
chr1	6424775	6460944	ENST00000645284.1	uc285fzb.1	ESPN	canonical,basic,all
chr1	6460785	6466173	ENST00000356876.8	uc001ane.5	TNFRSF25	canonical,basic,all
chr1	6467121	6491667	ENST00000377728.8	uc001anm.4	PLEKHG5	canonical,basic,all
chr1	6521346	6554513	ENST00000377705.6	uc001ans.5	NOL9	canonical,basic,all
chr1	6555306	6579755	ENST00000333172.11	uc001ant.5	TAS1R1	canonical,basic,all
chr1	6579993	6589280	ENST00000377674.9	uc001anx.6	ZBTB48	canonical,basic,all
chr1	6590723	6602869	ENST00000377658.8	uc001aoa.3	KLHL21	canonical,basic,all
chr1	6613730	6624030	ENST00000377648.5	uc001aob.6	PHF13	canonical,basic,all
chr1	6624867	6633562	ENST00000054650.9	uc001aoc.5	THAP3	canonical,basic,all
chr1	6634169	6701816	ENST00000377577.10	uc001aof.4	DNAJC11	canonical,basic,all
chr1	6785453	7769706	ENST00000303635.12	uc001aoi.4	CAMTA1	canonical,basic,all
chr1	7771295	7781432	ENST00000054666.11	uc001aol.4	VAMP3	canonical,basic,all
chr1	7784290	7845177	ENST00000377532.8	uc057bxr.2	PER3	canonical,basic,all
chr1	7847611	7853065	ENST00000361696.10	uc001aor.5	UTS2	canonical,basic,all
chr1	7915870	7940839	ENST00000377507.8	uc057bxz.2	TNFRSF9	canonical,basic,all
chr1	7961710	7985505	ENST00000338639.10	uc001aox.6	PARK7	canonical,basic,all
chr1	8011726	8026309	ENST00000377482.10	uc001aoz.5	ERRFI1	canonical,basic,all
chr1	8318113	8344165	ENST00000471889.7	uc057byt.3	SLC45A1	canonical,basic,all
chr1	8352403	8817640	ENST00000400908.7	uc001apf.5	RERE	canonical,basic,all
chr1	8860999	8878686	ENST00000234590.10	uc001apj.4	ENO1	canonical,basic,all
chr1	8945867	8975092	ENST00000377443.7	uc001apm.6	CA6	canonical,basic,all
chr1	9002972	9026423	ENST00000400906.2	uc009vmo.2	SLC2A7	canonical,basic,all
chr1	9035105	9069635	ENST00000377424.9	uc001apo.5	SLC2A5	canonical,basic,all
chr1	9100304	9129102	ENST00000377411.5	uc001apq.3	GPR157	canonical,basic,all
chr1	9234773	9271337	ENST00000377403.7	uc001apt.5	H6PD	canonical,basic,all
chr1	9292893	9369532	ENST00000328089.11	uc010oae.4	SPSB1	canonical,basic,all
chr1	9539464	9585173	ENST00000302692.7	uc001apw.5	SLC25A33	canonical,basic,all
chr1	9588910	9614877	ENST00000340381.11	uc021ofy.3	TMEM201	canonical,basic,all
chr1	9651730	9729114	ENST00000377346.9	uc001aqb.6	PIK3CD	canonical,basic,all
chr1	9728925	9823965	ENST00000377298.9	uc001aqh.5	CLSTN1	canonical,basic,all
chr1	9848275	9910269	ENST00000377263.6	uc001aqk.3	CTNNBIP1	canonical,basic,all
chr1	9926292	9943391	ENST00000377223.6	uc001aqo.5	LZIC	canonical,basic,all
chr1	9943474	9985498	ENST00000377205.6	uc001aqp.4	NMNAT1	canonical,basic,all
chr1	9997227	10016021	ENST00000294435.8	uc001aqq.5	RBP7	canonical,basic,all
chr1	10032957	10181239	ENST00000343090.11	uc001aqs.6	UBE4B	canonical,basic,all
chr1	10210569	10381603	ENST00000676179.1	uc288pwy.1	KIF1B	canonical,basic,all
chr1	10399063	10420511	ENST00000270776.13	uc001arc.5	PGD	canonical,basic,all
chr1	10430432	10442808	ENST00000309048.8	uc001are.5	CENPS	canonical,basic,all
chr1	10430434	10451411	ENST00000602787.6	uc031ple.2	CENPS-CORT	canonical,basic,all
chr1	10450030	10451998	ENST00000377049.4	uc001ari.6	CORT	canonical,basic,all
chr1	10456521	10472529	ENST00000377038.8	uc001arj.5	DFFA	canonical,basic,all
chr1	10474949	10630758	ENST00000356607.9	uc001arn.6	PEX14	canonical,basic,all
chr1	10636603	10796646	ENST00000377022.8	uc001aro.7	CASZ1	canonical,basic,all
chr1	10946474	10982076	ENST00000377004.9	uc010oao.3	C1orf127	canonical,basic,all
chr1	11012653	11025492	ENST00000240185.8	uc001art.5	TARDBP	canonical,basic,all
chr1	11026522	11047239	ENST00000400897.8	uc001aru.5	MASP2	canonical,basic,all
chr1	11054588	11060018	ENST00000376957.7	uc001arz.3	SRM	canonical,basic,all
chr1	11066617	11099869	ENST00000376936.9	uc001asa.5	EXOSC10	canonical,basic,all
chr1	11106534	11262551	ENST00000361445.9	uc001asd.5	MTOR	canonical,basic,all
chr1	11189354	11195981	ENST00000376819.4	uc001ase.6	ANGPTL7	canonical,basic,all
chr1	11273197	11288434	ENST00000376810.6	uc001asg.5	UBIAD1	canonical,basic,all
chr1	11479154	11537551	ENST00000294484.7	uc001ash.6	DISP3	canonical,basic,all
chr1	11648386	11654429	ENST00000354287.5	uc001asj.5	FBXO2	canonical,basic,all
chr1	11654876	11663327	ENST00000251547.10	uc001asm.5	FBXO44	canonical,basic,all
chr1	11664199	11674354	ENST00000376753.9	uc001aso.5	FBXO6	canonical,basic,all
chr1	11674479	11681148	ENST00000376692.9	uc001asp.5	MAD2L2	canonical,basic,all
chr1	11691709	11725857	ENST00000294485.6	uc001ass.5	DRAXIN	canonical,basic,all
chr1	11736135	11750769	ENST00000314340.10	uc001asv.5	AGTRAP	canonical,basic,all
chr1	11762192	11789585	ENST00000688073.1	uc315ogl.1	C1orf167	canonical,basic,all
chr1	11785722	11805964	ENST00000376590.9	uc001atc.5	MTHFR	canonical,basic,all
chr1	11806190	11843130	ENST00000346436.11	uc001ate.7	CLCN6	canonical,basic,all
chr1	11845708	11847783	ENST00000376480.7	uc001ati.4	NPPA	canonical,basic,all
chr1	11857463	11858945	ENST00000376468.4	uc001atj.5	NPPB	canonical,basic,all
chr1	11919590	11926427	ENST00000376572.8	uc001atk.5	KIAA2013	canonical,basic,all
chr1	11934716	11975537	ENST00000196061.5	uc001atm.5	PLOD1	canonical,basic,all
chr1	11980443	12013508	ENST00000235329.10	uc001atn.6	MFN2	canonical,basic,all
chr1	12019497	12032045	ENST00000235332.6	uc001ato.4	MIIP	canonical,basic,all
chr1	12063302	12144207	ENST00000263932.7	uc001atq.4	TNFRSF8	canonical,basic,all
chr1	12166990	12209220	ENST00000376259.7	uc001att.5	TNFRSF1B	canonical,basic,all
chr1	12230029	12512047	ENST00000620676.6	uc031tou.3	VPS13D	canonical,basic,all
chr1	12567909	12618210	ENST00000616661.5	uc031tpa.3	DHRS3	canonical,basic,all
chr1	12644084	12667076	ENST00000376221.2	uc001auf.4	AADACL4	canonical,basic,all
chr1	12716109	12728760	ENST00000359318.8	uc057ckc.2	AADACL3	canonical,basic,all
chr1	12746199	12763699	ENST00000614859.5	uc001auh.5	CFAP107	canonical,basic,all
chr1	12773737	12777906	ENST00000357726.5	uc001aui.6	PRAMEF12	canonical,basic,all
chr1	12791396	12796628	ENST00000332296.7	uc031tpg.1	PRAMEF1	canonical,basic,all
chr1	12824604	12831410	ENST00000619922.1	uc031tph.2	PRAMEF11	canonical,basic,all
chr1	12847376	12848720	ENST00000317869.7	uc010obf.3	HNRNPCL1	canonical,basic,all
chr1	12857085	12861909	ENST00000240189.2	uc001aum.1	PRAMEF2	canonical,basic,all
chr1	12879211	12886201	ENST00000235349.6	uc001aun.4	PRAMEF4	canonical,basic,all
chr1	12892895	12898270	ENST00000235347.4	uc031tpi.2	PRAMEF10	canonical,basic,all
chr1	12916609	12920751	ENST00000697200.1	uc315ztj.1	PRAMEF7	canonical,basic,all
chr1	12938471	12947580	ENST00000376189.5	uc031tpn.1	PRAMEF6	canonical,basic,all
chr1	13049475	13056575	ENST00000436041.6	uc057ckn.2	PRAMEF27	canonical,basic,all
chr1	13060768	13062878	ENST00000617807.3	uc057ckr.2	HNRNPCL3	canonical,basic,all
chr1	13070773	13077884	ENST00000619661.3	uc057ckt.2	PRAMEF25	canonical,basic,all
chr1	13115487	13116854	ENST00000621994.3	uc010obg.4	HNRNPCL2	canonical,basic,all
chr1	13148906	13156009	ENST00000624207.2	uc057ckv.2	PRAMEF26	canonical,basic,all
chr1	13163913	13165631	ENST00000323770.8	uc031tpp.3	HNRNPCL4	canonical,basic,all
chr1	13171847	13179459	ENST00000415919.3	uc057ckw.2	PRAMEF9	canonical,basic,all
chr1	13196187	13201409	ENST00000625019.3	uc285gbn.2	PRAMEF13	canonical,basic,all
chr1	13222694	13226154	ENST00000624297.3	uc285gbo.2	PRAMEF18	canonical,basic,all
chr1	13254197	13263435	ENST00000622421.3	uc001auu.3	PRAMEF5	canonical,basic,all
chr1	13281303	13285137	ENST00000357367.7	uc031tpv.3	PRAMEF8	canonical,basic,all
chr1	13303538	13308907	ENST00000437300.2	uc285gbp.1	PRAMEF33	canonical,basic,all
chr1	13315580	13322598	ENST00000376152.2	uc001auw.2	PRAMEF15	canonical,basic,all
chr1	13341891	13347134	ENST00000334600.7	uc010obi.3	PRAMEF14	canonical,basic,all
chr1	13368430	13371947	ENST00000376101.4	uc057clc.3	PRAMEF19	canonical,basic,all
chr1	13389631	13392629	ENST00000376098.4	uc009vnz.3	PRAMEF17	canonical,basic,all
chr1	13410449	13421328	ENST00000602960.2	uc057cld.2	PRAMEF20	canonical,basic,all
chr1	13474972	13514003	ENST00000376085.4	uc001avb.5	LRRC38	canonical,basic,all
chr1	13583831	13617957	ENST00000621990.5	uc057clg.2	PDPN	canonical,basic,all
chr1	13700187	13825079	ENST00000311066.10	uc001avh.5	PRDM2	canonical,basic,all
chr1	14598684	15118043	ENST00000376030.7	uc001avm.6	KAZN	canonical,basic,all
chr1	15153746	15220478	ENST00000376008.3	uc001avy.5	TMEM51	canonical,basic,all
chr1	15247222	15398328	ENST00000688493.1	uc315owr.1	FHAD1	canonical,basic,all
chr1	15409887	15430339	ENST00000375980.9	uc001awh.3	EFHD2	canonical,basic,all
chr1	15438442	15449242	ENST00000375949.5	uc001awi.3	CTRC	canonical,basic,all
chr1	15456731	15472091	ENST00000359621.5	uc001awk.5	CELA2A	canonical,basic,all
chr1	15476103	15491395	ENST00000375910.8	uc001awl.4	CELA2B	canonical,basic,all
chr1	15491400	15524215	ENST00000333868.10	uc001awn.6	CASP9	canonical,basic,all
chr1	15526847	15571733	ENST00000375847.8	uc001aws.5	DNAJC16	canonical,basic,all
chr1	15571698	15585051	ENST00000375826.4	uc001awv.4	AGMAT	canonical,basic,all
chr1	15617457	15669044	ENST00000480945.6	uc001awz.5	DDI2	canonical,basic,all
chr1	15659712	15662033	ENST00000345034.2	uc010obn.3	RSC1A1	canonical,basic,all
chr1	15684319	15734769	ENST00000375799.8	uc010obo.3	PLEKHM2	canonical,basic,all
chr1	15736257	15741392	ENST00000294454.6	uc001axb.3	SLC25A34	canonical,basic,all
chr1	15742498	15747982	ENST00000375782.2	uc001axc.6	TMEM82	canonical,basic,all
chr1	15758794	15786589	ENST00000375766.8	uc001axe.3	FBLIM1	canonical,basic,all
chr1	15807373	15807649	ENST00000696689.1	uc315zay.1	UQCRHL	canonical,basic,all
chr1	15847706	15940456	ENST00000375759.8	uc001axk.3	SPEN	canonical,basic,all
chr1	15941868	15976101	ENST00000375743.9	uc001axl.6	ZBTB17	canonical,basic,all
chr1	16004235	16008807	ENST00000329454.2	uc001axn.4	SRARP	canonical,basic,all
chr1	16014028	16018043	ENST00000311890.14	uc001axo.3	HSPB7	canonical,basic,all
chr1	16022035	16034050	ENST00000331433.5	uc001axu.5	CLCNKA	canonical,basic,all
chr1	16043781	16057308	ENST00000375679.9	uc001axx.7	CLCNKB	canonical,basic,all
chr1	16057768	16073651	ENST00000375662.5	uc001axz.6	FAM131C	canonical,basic,all
chr1	16124336	16156069	ENST00000358432.8	uc001aya.3	EPHA2	canonical,basic,all
chr1	16197853	16212652	ENST00000270747.8	uc001ayc.2	ARHGEF19	canonical,basic,all
chr1	16231691	16237183	ENST00000375599.8	uc001ayd.5	CPLANE2	canonical,basic,all
chr1	16246839	16352480	ENST00000375592.8	uc001ayg.5	FBXO42	canonical,basic,all
chr1	16367241	16398145	ENST00000401088.9	uc001aym.7	SZRD1	canonical,basic,all
chr1	16398642	16437424	ENST00000335496.5	uc001ayn.3	SPATA21	canonical,basic,all
chr1	16440723	16460078	ENST00000337132.10	uc001ayo.5	NECAP2	canonical,basic,all
chr1	16562318	16613487	ENST00000430580.6	uc001ayw.5	NBPF1	canonical,basic,all
chr1	16921930	16972964	ENST00000375541.10	uc001azt.3	CROCC	canonical,basic,all
chr1	16974501	16980620	ENST00000375535.4	uc001azw.5	MFAP2	canonical,basic,all
chr1	16985957	17011928	ENST00000326735.13	uc001baa.4	ATP13A2	canonical,basic,all
chr1	17005067	17011757	ENST00000617114.5	uc057ctj.2	ENSG00000288636	canonical,basic,all
chr1	17018721	17054032	ENST00000375499.8	uc001bae.6	SDHB	canonical,basic,all
chr1	17066760	17119451	ENST00000375486.9	uc001baf.5	PADI2	canonical,basic,all
chr1	17205127	17246007	ENST00000375471.5	uc001bah.3	PADI1	canonical,basic,all
chr1	17249097	17284233	ENST00000375460.3	uc001bai.4	PADI3	canonical,basic,all
chr1	17308196	17364004	ENST00000375448.4	uc001baj.3	PADI4	canonical,basic,all
chr1	17372195	17401699	ENST00000619609.1	uc031trf.2	PADI6	canonical,basic,all
chr1	17406759	17439677	ENST00000375436.9	uc001bam.5	RCC2	canonical,basic,all
chr1	17539697	17697869	ENST00000361221.8	uc001ban.5	ARHGEF10L	canonical,basic,all
chr1	17755332	17827063	ENST00000375406.2	uc001bat.4	ACTL8	canonical,basic,all
chr1	18107797	18378483	ENST00000251296.4	uc001bau.4	IGSF21	canonical,basic,all
chr1	18480929	18485974	ENST00000400664.3	uc001bax.5	KLHDC7A	canonical,basic,all
chr1	18630845	18748866	ENST00000420770.7	uc010oct.4	PAX7	canonical,basic,all
chr1	18839598	18859660	ENST00000375371.4	uc001bba.3	TAS1R2	canonical,basic,all
chr1	18871429	18902555	ENST00000375341.8	uc001bbc.5	ALDH4A1	canonical,basic,all
chr1	18904279	18956676	ENST00000455833.7	uc001bbd.4	IFFO2	canonical,basic,all
chr1	19074509	19210266	ENST00000375254.8	uc001bbi.5	UBR4	canonical,basic,all
chr1	19215659	19251524	ENST00000477853.6	uc001bbo.6	EMC1	canonical,basic,all
chr1	19251804	19260128	ENST00000330263.5	uc001bbs.5	MRTO4	canonical,basic,all
chr1	19267102	19274194	ENST00000429712.5	uc057cwi.1	AKR7L	canonical,basic,all
chr1	19282572	19288770	ENST00000361640.5	uc001bbv.3	AKR7A3	canonical,basic,all
chr1	19303964	19312144	ENST00000235835.8	uc001bbw.5	AKR7A2	canonical,basic,all
chr1	19312325	19329300	ENST00000375153.8	uc001bca.5	SLC66A1	canonical,basic,all
chr1	19338774	19485539	ENST00000264202.8	uc001bce.6	CAPZB	canonical,basic,all
chr1	19596978	19629820	ENST00000322753.7	uc001bci.4	MICOS10	canonical,basic,all
chr1	19597066	19656914	ENST00000602384.5	uc057cxf.1	MICOS10-NBL1	canonical,basic,all
chr1	19644310	19658452	ENST00000375136.8	uc001bck.5	NBL1	canonical,basic,all
chr1	19664874	19680966	ENST00000289753.2	uc001bcl.6	HTR6	canonical,basic,all
chr1	19682239	19799916	ENST00000294543.11	uc001bcn.4	TMCO4	canonical,basic,all
chr1	19814028	19815283	ENST00000375121.4	uc001bcr.4	RNF186	canonical,basic,all
chr1	19882394	19912945	ENST00000375120.4	uc001bcs.6	OTUD3	canonical,basic,all
chr1	19920008	19923617	ENST00000375116.3	uc001bct.2	PLA2G2E	canonical,basic,all
chr1	19975434	19979618	ENST00000482011.3	uc057cyd.3	PLA2G2A	canonical,basic,all
chr1	20070193	20091911	ENST00000375108.4	uc001bcy.5	PLA2G5	canonical,basic,all
chr1	20111938	20119536	ENST00000375105.8	uc001bcz.6	PLA2G2D	canonical,basic,all
chr1	20139322	20150381	ENST00000375102.4	uc009vpp.3	PLA2G2F	canonical,basic,all
chr1	20163054	20186518	ENST00000679259.1	uc288ukd.1	PLA2G2C	canonical,basic,all
chr1	20186095	20196050	ENST00000375099.4	uc001bdb.5	UBXN10	canonical,basic,all
chr1	20290874	20359518	ENST00000289815.13	uc009vps.3	VWA5B1	canonical,basic,all
chr1	20482390	20486210	ENST00000375078.4	uc001bdh.5	CAMK2N1	canonical,basic,all
chr1	20499447	20508151	ENST00000264198.5	uc001bdi.6	MUL1	canonical,basic,all
chr1	20552572	20555020	ENST00000332947.6	uc001bdj.5	FAM43B	canonical,basic,all
chr1	20589096	20618903	ENST00000375071.4	uc001bdk.5	CDA	canonical,basic,all
chr1	20633457	20651511	ENST00000321556.5	uc001bdm.4	PINK1	canonical,basic,all
chr1	20651776	20661369	ENST00000602624.7	uc057czh.2	DDOST	canonical,basic,all
chr1	20664013	20718007	ENST00000400463.8	uc001bds.7	KIF17	canonical,basic,all
chr1	20719730	20732703	ENST00000444387.7	uc009vpy.3	SH2D5	canonical,basic,all
chr1	20740265	20787307	ENST00000438032.6	uc057dab.2	HP1BP3	canonical,basic,all
chr1	20806478	21176897	ENST00000602326.6	uc001bee.5	EIF4G3	canonical,basic,all
chr1	21217249	21290463	ENST00000374893.11	uc001bek.4	ECE1	canonical,basic,all
chr1	21440136	21484900	ENST00000318249.10	uc001ber.6	NBPF3	canonical,basic,all
chr1	21509422	21578410	ENST00000374840.8	uc001bet.5	ALPL	canonical,basic,all
chr1	21547403	21554002	ENST00000696766.1	uc315zdx.1	ENSG00000289715	canonical,basic,all
chr1	21596220	21669357	ENST00000374765.9	uc001bex.5	RAP1GAP	canonical,basic,all
chr1	21678297	21783149	ENST00000308271.14	uc001bfb.5	USP48	canonical,basic,all
chr1	21812264	21825225	ENST00000344642.7	uc001bfg.2	LDLRAD2	canonical,basic,all
chr1	21822243	21937310	ENST00000374695.8	uc001bfj.5	HSPG2	canonical,basic,all
chr1	21977021	21989354	ENST00000337107.11	uc001bfk.5	CELA3B	canonical,basic,all
chr1	22001656	22012542	ENST00000290122.8	uc001bfl.5	CELA3A	canonical,basic,all
chr1	22025141	22091559	ENST00000695855.1	uc315xvy.1	ENSG00000289694	canonical,basic,all
chr1	22052708	22101360	ENST00000656825.1	uc287pgs.1	CDC42	canonical,basic,all
chr1	22117312	22143097	ENST00000290167.11	uc001bfs.6	WNT4	canonical,basic,all
chr1	22451850	22531154	ENST00000375647.5	uc001bfu.4	ZBTB40	canonical,basic,all
chr1	22563488	22603595	ENST00000166244.8	uc001bfx.3	EPHA8	canonical,basic,all
chr1	22636505	22644067	ENST00000695747.1	uc315xrv.1	ENSG00000289692	canonical,basic,all
chr1	22636627	22639678	ENST00000374642.8	uc001bfy.5	C1QA	canonical,basic,all
chr1	22643632	22648108	ENST00000374640.9	uc001bgc.6	C1QC	canonical,basic,all
chr1	22653235	22661637	ENST00000509305.6	uc057dea.2	C1QB	canonical,basic,all
chr1	22710838	22921500	ENST00000374630.8	uc001bgf.5	EPHB2	canonical,basic,all
chr1	22953042	22972866	ENST00000426928.7	uc057dei.2	LACTBL1	canonical,basic,all
chr1	23010833	23015852	ENST00000566855.4	uc001bgh.2	TEX46	canonical,basic,all
chr1	23019467	23083689	ENST00000400181.9	uc001bgj.4	KDM1A	canonical,basic,all
chr1	23084029	23168856	ENST00000302291.9	uc001bgm.3	LUZP1	canonical,basic,all
chr1	23094325	23094376	ENST00000713865.1	uc331prn.1	ENSG00000293565	canonical,basic,all
chr1	23191894	23217502	ENST00000374619.2	uc001bgn.4	HTR1D	canonical,basic,all
chr1	23304687	23344284	ENST00000302271.11	uc001bgr.6	HNRNPR	canonical,basic,all
chr1	23359447	23369836	ENST00000314011.9	uc001bgu.5	ZNF436	canonical,basic,all
chr1	23380908	23424748	ENST00000450454.7	uc057dfl.2	TCEA3	canonical,basic,all
